test_id,clone_code_id,desired_base_code_id,clone_language,clone_task,clone_type,clone_sub_type,similarity_score,base_code_id,base_language,base_task,base_domain,base_subdomain
z4tt_3_4_2,z4tt_3_4,z4tt,python,100 doors,T3,Control Flow Modifications,0.9881413,o781,python,Archimedean spiral,Mathematics,Geometry
z4tt_3_4_3,z4tt_3_4,z4tt,python,100 doors,T3,Control Flow Modifications,0.98526704,8i80o,python,AKS test for primes,Mathematics,Number Theory
z4tt_3_4_4,z4tt_3_4,z4tt,python,100 doors,T3,Control Flow Modifications,0.9836644,ymi6q,python,Align columns,Programming Concepts,Text Processing
z4tt_3_4_5,z4tt_3_4,z4tt,python,100 doors,T3,Control Flow Modifications,0.9798517,mclyh,python,Active Directory/Connect,Networking,Directory Services
z4tt_4_1_1,z4tt_4_1,z4tt,python,100 doors,T4,Same Language,0.99736947,z4tt,python,100 doors,Game Development,Puzzles
z4tt_4_1_2,z4tt_4_1,z4tt,python,100 doors,T4,Same Language,0.9894514,o781,python,Archimedean spiral,Mathematics,Geometry
z4tt_4_1_3,z4tt_4_1,z4tt,python,100 doors,T4,Same Language,0.982954,6y03w,python,Ackermann function,Mathematics,Algorithms
z4tt_4_1_4,z4tt_4_1,z4tt,python,100 doors,T4,Same Language,0.9819442,ymi6q,python,Align columns,Programming Concepts,Text Processing
z4tt_4_1_5,z4tt_4_1,z4tt,python,100 doors,T4,Same Language,0.9816253,8i80o,python,AKS test for primes,Mathematics,Number Theory
z4tt_4_2_1,z4tt_4_2,z4tt,go,100 doors,T4,Different Language,0.980763,9c3mf,python,Address of a variable,Programming Concepts,Memory Management
z4tt_4_2_2,z4tt_4_2,z4tt,go,100 doors,T4,Different Language,0.9784933,4gv5k,python,Add a variable to a class instance at runtime,Programming Concepts,Object-Oriented Programming
z4tt_4_2_3,z4tt_4_2,z4tt,go,100 doors,T4,Different Language,0.9588566,3jzc,python,Arbitrary-precision integers (included),Mathematics,Arithmetic
z4tt_4_2_4,z4tt_4_2,z4tt,go,100 doors,T4,Different Language,0.95615804,jhq7p,python,A+B,Mathematics,Arithmetic
z4tt_4_2_5,z4tt_4_2,z4tt,go,100 doors,T4,Different Language,0.9506279,p1gbm,python,Accumulator factory,Programming Concepts,Functional Programming
z4tt_4_2_1,z4tt_4_2,z4tt,java,100 doors,T4,Different Language,0.98178196,1a6pc,python,4-rings or 4-squares puzzle,Game Development,Puzzles
z4tt_4_2_2,z4tt_4_2,z4tt,java,100 doors,T4,Different Language,0.98160785,08hsq,python,Abelian sandpile model,Mathematics,Automata
z4tt_4_2_3,z4tt_4_2,z4tt,java,100 doors,T4,Different Language,0.9791915,vu129,python,100 prisoners,Game Development,Puzzles
z4tt_4_2_4,z4tt_4_2,z4tt,java,100 doors,T4,Different Language,0.9781178,kb6hf,python,"Abbreviations, automatic",Programming Concepts,Text Processing
z4tt_4_2_5,z4tt_4_2,z4tt,java,100 doors,T4,Different Language,0.97786283,5cux,python,ASCII art diagram converter,Programming Concepts,Text Processing
z4tt_4_2_1,z4tt_4_2,z4tt,javascript,100 doors,T4,Different Language,0.9798317,z4tt,python,100 doors,Game Development,Puzzles
z4tt_4_2_2,z4tt_4_2,z4tt,javascript,100 doors,T4,Different Language,0.97862136,36bzc,python,9 billion names of God the integer,Mathematics,Number Theory
z4tt_4_2_3,z4tt_4_2,z4tt,javascript,100 doors,T4,Different Language,0.9783887,ymi6q,python,Align columns,Programming Concepts,Text Processing
z4tt_4_2_4,z4tt_4_2,z4tt,javascript,100 doors,T4,Different Language,0.97804713,rj8gq,python,Anonymous recursion,Programming Concepts,Recursion
z4tt_4_2_5,z4tt_4_2,z4tt,javascript,100 doors,T4,Different Language,0.976208,o781,python,Archimedean spiral,Mathematics,Geometry
z4tt_4_2_1,z4tt_4_2,z4tt,php,100 doors,T4,Different Language,0.97955364,z4tt,python,100 doors,Game Development,Puzzles
z4tt_4_2_2,z4tt_4_2,z4tt,php,100 doors,T4,Different Language,0.97546315,o781,python,Archimedean spiral,Mathematics,Geometry
z4tt_4_2_3,z4tt_4_2,z4tt,php,100 doors,T4,Different Language,0.9748107,jhq7p,python,A+B,Mathematics,Arithmetic
z4tt_4_2_4,z4tt_4_2,z4tt,php,100 doors,T4,Different Language,0.97451997,xsqwr,python,Anagrams,Programming Concepts,String Operations
z4tt_4_2_5,z4tt_4_2,z4tt,php,100 doors,T4,Different Language,0.97206,dfwn1,python,"Abundant, deficient and perfect number classifications",Mathematics,Number Theory
z4tt_4_2_1,z4tt_4_2,z4tt,ruby,100 doors,T4,Different Language,0.9837183,z4tt,python,100 doors,Game Development,Puzzles
z4tt_4_2_2,z4tt_4_2,z4tt,ruby,100 doors,T4,Different Language,0.98162365,o781,python,Archimedean spiral,Mathematics,Geometry
z4tt_4_2_3,z4tt_4_2,z4tt,ruby,100 doors,T4,Different Language,0.9803633,ymi6q,python,Align columns,Programming Concepts,Text Processing
z4tt_4_2_4,z4tt_4_2,z4tt,ruby,100 doors,T4,Different Language,0.9790354,8i80o,python,AKS test for primes,Mathematics,Number Theory
z4tt_4_2_5,z4tt_4_2,z4tt,ruby,100 doors,T4,Different Language,0.9758246,3jzc,python,Arbitrary-precision integers (included),Mathematics,Arithmetic
vu129_1_1_1,vu129_1_1,vu129,python,100 prisoners,T1,Identical Clone,1.0,vu129,python,100 prisoners,Game Development,Puzzles
vu129_1_1_2,vu129_1_1,vu129,python,100 prisoners,T1,Identical Clone,0.99489605,08hsq,python,Abelian sandpile model,Mathematics,Automata
vu129_1_1_3,vu129_1_1,vu129,python,100 prisoners,T1,Identical Clone,0.9941368,g774h,python,Aliquot sequence classifications,Mathematics,Number Theory
vu129_1_1_4,vu129_1_1,vu129,python,100 prisoners,T1,Identical Clone,0.993585,7jzrm,python,Abelian sandpile model/Identity,Mathematics,Automata
vu129_1_1_5,vu129_1_1,vu129,python,100 prisoners,T1,Identical Clone,0.99287236,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
vu129_1_2_1,vu129_1_2,vu129,python,100 prisoners,T1,Different Whitespaces,0.9887781,b1skr,python,Almkvist-Giullera formula for pi,Mathematics,Numerical Methods
vu129_1_2_2,vu129_1_2,vu129,python,100 prisoners,T1,Different Whitespaces,0.9882972,u5evd,python,24 game,Game Development,Puzzles
vu129_1_2_3,vu129_1_2,vu129,python,100 prisoners,T1,Different Whitespaces,0.985582,u4wvd,python,Anagrams/Deranged anagrams,Programming Concepts,String Operations
vu129_1_2_4,vu129_1_2,vu129,python,100 prisoners,T1,Different Whitespaces,0.9843042,r70gq,python,24 game/Solve,Game Development,Puzzles
vu129_1_2_5,vu129_1_2,vu129,python,100 prisoners,T1,Different Whitespaces,0.98420906,s0lq9,python,21 game,Game Development,Card Games
vu129_1_3_1,vu129_1_3,vu129,python,100 prisoners,T1,Different Comments,1.0,vu129,python,100 prisoners,Game Development,Puzzles
vu129_1_3_2,vu129_1_3,vu129,python,100 prisoners,T1,Different Comments,0.99489605,08hsq,python,Abelian sandpile model,Mathematics,Automata
vu129_1_3_3,vu129_1_3,vu129,python,100 prisoners,T1,Different Comments,0.9941368,g774h,python,Aliquot sequence classifications,Mathematics,Number Theory
vu129_1_3_4,vu129_1_3,vu129,python,100 prisoners,T1,Different Comments,0.993585,7jzrm,python,Abelian sandpile model/Identity,Mathematics,Automata
vu129_1_3_5,vu129_1_3,vu129,python,100 prisoners,T1,Different Comments,0.99287236,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
vu129_1_4_1,vu129_1_4,vu129,python,100 prisoners,T1,Different Formatting,0.9997015,vu129,python,100 prisoners,Game Development,Puzzles
vu129_1_4_2,vu129_1_4,vu129,python,100 prisoners,T1,Different Formatting,0.99560595,08hsq,python,Abelian sandpile model,Mathematics,Automata
vu129_1_4_3,vu129_1_4,vu129,python,100 prisoners,T1,Different Formatting,0.9939978,g774h,python,Aliquot sequence classifications,Mathematics,Number Theory
vu129_1_4_4,vu129_1_4,vu129,python,100 prisoners,T1,Different Formatting,0.9931416,7jzrm,python,Abelian sandpile model/Identity,Mathematics,Automata
vu129_1_4_5,vu129_1_4,vu129,python,100 prisoners,T1,Different Formatting,0.99301445,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
vu129_2_1_1,vu129_2_1,vu129,python,100 prisoners,T2,Different Variable Names,0.99939424,vu129,python,100 prisoners,Game Development,Puzzles
vu129_2_1_2,vu129_2_1,vu129,python,100 prisoners,T2,Different Variable Names,0.9949312,08hsq,python,Abelian sandpile model,Mathematics,Automata
vu129_2_1_3,vu129_2_1,vu129,python,100 prisoners,T2,Different Variable Names,0.9933725,g774h,python,Aliquot sequence classifications,Mathematics,Number Theory
vu129_2_1_4,vu129_2_1,vu129,python,100 prisoners,T2,Different Variable Names,0.9929949,7jzrm,python,Abelian sandpile model/Identity,Mathematics,Automata
vu129_2_1_5,vu129_2_1,vu129,python,100 prisoners,T2,Different Variable Names,0.991904,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
vu129_2_2_1,vu129_2_2,vu129,python,100 prisoners,T2,Different Data Types,0.9980772,vu129,python,100 prisoners,Game Development,Puzzles
vu129_2_2_2,vu129_2_2,vu129,python,100 prisoners,T2,Different Data Types,0.9947183,08hsq,python,Abelian sandpile model,Mathematics,Automata
vu129_2_2_3,vu129_2_2,vu129,python,100 prisoners,T2,Different Data Types,0.9942453,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
vu129_2_2_4,vu129_2_2,vu129,python,100 prisoners,T2,Different Data Types,0.99325633,g774h,python,Aliquot sequence classifications,Mathematics,Number Theory
vu129_2_2_5,vu129_2_2,vu129,python,100 prisoners,T2,Different Data Types,0.99323595,7jzrm,python,Abelian sandpile model/Identity,Mathematics,Automata
vu129_2_3_1,vu129_2_3,vu129,python,100 prisoners,T2,Different Function Names,0.99997985,vu129,python,100 prisoners,Game Development,Puzzles
vu129_2_3_2,vu129_2_3,vu129,python,100 prisoners,T2,Different Function Names,0.99479365,08hsq,python,Abelian sandpile model,Mathematics,Automata
vu129_2_3_3,vu129_2_3,vu129,python,100 prisoners,T2,Different Function Names,0.99410105,g774h,python,Aliquot sequence classifications,Mathematics,Number Theory
vu129_2_3_4,vu129_2_3,vu129,python,100 prisoners,T2,Different Function Names,0.99357736,7jzrm,python,Abelian sandpile model/Identity,Mathematics,Automata
vu129_2_3_5,vu129_2_3,vu129,python,100 prisoners,T2,Different Function Names,0.99281573,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
vu129_3_1_1,vu129_3_1,vu129,python,100 prisoners,T3,Added Statements,1.0,vu129,python,100 prisoners,Game Development,Puzzles
vu129_3_1_2,vu129_3_1,vu129,python,100 prisoners,T3,Added Statements,0.99489605,08hsq,python,Abelian sandpile model,Mathematics,Automata
vu129_3_1_3,vu129_3_1,vu129,python,100 prisoners,T3,Added Statements,0.9941368,g774h,python,Aliquot sequence classifications,Mathematics,Number Theory
vu129_3_1_4,vu129_3_1,vu129,python,100 prisoners,T3,Added Statements,0.993585,7jzrm,python,Abelian sandpile model/Identity,Mathematics,Automata
vu129_3_1_5,vu129_3_1,vu129,python,100 prisoners,T3,Added Statements,0.99287236,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
vu129_3_2_1,vu129_3_2,vu129,python,100 prisoners,T3,Removed Statements,0.99912584,vu129,python,100 prisoners,Game Development,Puzzles
vu129_3_2_2,vu129_3_2,vu129,python,100 prisoners,T3,Removed Statements,0.9950712,08hsq,python,Abelian sandpile model,Mathematics,Automata
vu129_3_2_3,vu129_3_2,vu129,python,100 prisoners,T3,Removed Statements,0.9944496,g774h,python,Aliquot sequence classifications,Mathematics,Number Theory
vu129_3_2_4,vu129_3_2,vu129,python,100 prisoners,T3,Removed Statements,0.9933428,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
vu129_3_2_5,vu129_3_2,vu129,python,100 prisoners,T3,Removed Statements,0.9927542,7jzrm,python,Abelian sandpile model/Identity,Mathematics,Automata
vu129_3_3_1,vu129_3_3,vu129,python,100 prisoners,T3,Reordered Statements,0.99952173,vu129,python,100 prisoners,Game Development,Puzzles
vu129_3_3_2,vu129_3_3,vu129,python,100 prisoners,T3,Reordered Statements,0.9955171,08hsq,python,Abelian sandpile model,Mathematics,Automata
vu129_3_3_3,vu129_3_3,vu129,python,100 prisoners,T3,Reordered Statements,0.99359554,g774h,python,Aliquot sequence classifications,Mathematics,Number Theory
vu129_3_3_4,vu129_3_3,vu129,python,100 prisoners,T3,Reordered Statements,0.9929364,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
vu129_3_3_5,vu129_3_3,vu129,python,100 prisoners,T3,Reordered Statements,0.9925189,7jzrm,python,Abelian sandpile model/Identity,Mathematics,Automata
vu129_3_4_1,vu129_3_4,vu129,python,100 prisoners,T3,Control Flow Modifications,0.9991868,vu129,python,100 prisoners,Game Development,Puzzles
vu129_3_4_2,vu129_3_4,vu129,python,100 prisoners,T3,Control Flow Modifications,0.99483955,08hsq,python,Abelian sandpile model,Mathematics,Automata
vu129_3_4_3,vu129_3_4,vu129,python,100 prisoners,T3,Control Flow Modifications,0.9936952,g774h,python,Aliquot sequence classifications,Mathematics,Number Theory
vu129_3_4_4,vu129_3_4,vu129,python,100 prisoners,T3,Control Flow Modifications,0.99312717,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
vu129_3_4_5,vu129_3_4,vu129,python,100 prisoners,T3,Control Flow Modifications,0.9921353,7jzrm,python,Abelian sandpile model/Identity,Mathematics,Automata
vu129_4_1_1,vu129_4_1,vu129,python,100 prisoners,T4,Same Language,0.9947278,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
vu129_4_1_2,vu129_4_1,vu129,python,100 prisoners,T4,Same Language,0.99393666,vu129,python,100 prisoners,Game Development,Puzzles
vu129_4_1_3,vu129_4_1,vu129,python,100 prisoners,T4,Same Language,0.993879,kb6hf,python,"Abbreviations, automatic",Programming Concepts,Text Processing
vu129_4_1_4,vu129_4_1,vu129,python,100 prisoners,T4,Same Language,0.99234194,1a6pc,python,4-rings or 4-squares puzzle,Game Development,Puzzles
vu129_4_1_5,vu129_4_1,vu129,python,100 prisoners,T4,Same Language,0.9922919,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_4_2_1,vu129_4_2,vu129,go,100 prisoners,T4,Different Language,0.968247,9c3mf,python,Address of a variable,Programming Concepts,Memory Management
vu129_4_2_2,vu129_4_2,vu129,go,100 prisoners,T4,Different Language,0.9680437,4gv5k,python,Add a variable to a class instance at runtime,Programming Concepts,Object-Oriented Programming
vu129_4_2_3,vu129_4_2,vu129,go,100 prisoners,T4,Different Language,0.967963,3jzc,python,Arbitrary-precision integers (included),Mathematics,Arithmetic
vu129_4_2_4,vu129_4_2,vu129,go,100 prisoners,T4,Different Language,0.9649321,mclyh,python,Active Directory/Connect,Networking,Directory Services
vu129_4_2_5,vu129_4_2,vu129,go,100 prisoners,T4,Different Language,0.96439075,ymi6q,python,Align columns,Programming Concepts,Text Processing
vu129_4_2_1,vu129_4_2,vu129,java,100 prisoners,T4,Different Language,0.98623145,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
vu129_4_2_2,vu129_4_2,vu129,java,100 prisoners,T4,Different Language,0.9861132,v5a29,python,Animation,Game Development,Graphics
vu129_4_2_3,vu129_4_2,vu129,java,100 prisoners,T4,Different Language,0.9849029,kb6hf,python,"Abbreviations, automatic",Programming Concepts,Text Processing
vu129_4_2_4,vu129_4_2,vu129,java,100 prisoners,T4,Different Language,0.9845103,clr9q,python,15 puzzle game,Game Development,Puzzles
vu129_4_2_5,vu129_4_2,vu129,java,100 prisoners,T4,Different Language,0.9835706,08hsq,python,Abelian sandpile model,Mathematics,Automata
vu129_4_2_1,vu129_4_2,vu129,javascript,100 prisoners,T4,Different Language,0.977875,9c3mf,python,Address of a variable,Programming Concepts,Memory Management
vu129_4_2_2,vu129_4_2,vu129,javascript,100 prisoners,T4,Different Language,0.9768492,jhq7p,python,A+B,Mathematics,Arithmetic
vu129_4_2_3,vu129_4_2,vu129,javascript,100 prisoners,T4,Different Language,0.97355896,3jzc,python,Arbitrary-precision integers (included),Mathematics,Arithmetic
vu129_4_2_4,vu129_4_2,vu129,javascript,100 prisoners,T4,Different Language,0.9721298,4gv5k,python,Add a variable to a class instance at runtime,Programming Concepts,Object-Oriented Programming
vu129_4_2_5,vu129_4_2,vu129,javascript,100 prisoners,T4,Different Language,0.9660686,mclyh,python,Active Directory/Connect,Networking,Directory Services
vu129_4_2_1,vu129_4_2,vu129,ruby,100 prisoners,T4,Different Language,0.9862044,36bzc,python,9 billion names of God the integer,Mathematics,Number Theory
vu129_4_2_2,vu129_4_2,vu129,ruby,100 prisoners,T4,Different Language,0.98411137,nf6iz,python,Almost prime,Mathematics,Number Theory
vu129_4_2_3,vu129_4_2,vu129,ruby,100 prisoners,T4,Different Language,0.98148316,c279q,python,Amicable pairs,Mathematics,Number Theory
vu129_4_2_4,vu129_4_2,vu129,ruby,100 prisoners,T4,Different Language,0.98144126,ymi6q,python,Align columns,Programming Concepts,Text Processing
vu129_4_2_5,vu129_4_2,vu129,ruby,100 prisoners,T4,Different Language,0.98099774,dfwn1,python,"Abundant, deficient and perfect number classifications",Mathematics,Number Theory
clr9q_1_1_1,clr9q_1_1,clr9q,python,15 puzzle game,T1,Identical Clone,1.0,clr9q,python,15 puzzle game,Game Development,Puzzles
clr9q_1_1_2,clr9q_1_1,clr9q,python,15 puzzle game,T1,Identical Clone,0.9905751,l26cv,python,Active object,Programming Concepts,Concurrency
clr9q_1_1_3,clr9q_1_1,clr9q,python,15 puzzle game,T1,Identical Clone,0.98982036,id9of,python,Animate a pendulum,Game Development,Physics Simulations
clr9q_1_1_4,clr9q_1_1,clr9q,python,15 puzzle game,T1,Identical Clone,0.9894873,v5a29,python,Animation,Game Development,Graphics
clr9q_1_1_5,clr9q_1_1,clr9q,python,15 puzzle game,T1,Identical Clone,0.98944235,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
clr9q_1_2_1,clr9q_1_2,clr9q,python,15 puzzle game,T1,Different Whitespaces,0.9913199,inmof,python,2048,Game Development,Puzzles
clr9q_1_2_2,clr9q_1_2,clr9q,python,15 puzzle game,T1,Different Whitespaces,0.98868555,kpyhf,python,Append a record to the end of a text file,Utilities & Scripts,File Operations
clr9q_1_2_3,clr9q_1_2,clr9q,python,15 puzzle game,T1,Different Whitespaces,0.98697966,s0lq9,python,21 game,Game Development,Card Games
clr9q_1_2_4,clr9q_1_2,clr9q,python,15 puzzle game,T1,Different Whitespaces,0.9862308,u4wvd,python,Anagrams/Deranged anagrams,Programming Concepts,String Operations
clr9q_1_2_5,clr9q_1_2,clr9q,python,15 puzzle game,T1,Different Whitespaces,0.9861154,clr9q,python,15 puzzle game,Game Development,Puzzles
clr9q_1_3_1,clr9q_1_3,clr9q,python,15 puzzle game,T1,Different Comments,0.9997115,clr9q,python,15 puzzle game,Game Development,Puzzles
clr9q_1_3_2,clr9q_1_3,clr9q,python,15 puzzle game,T1,Different Comments,0.9906571,l26cv,python,Active object,Programming Concepts,Concurrency
clr9q_1_3_3,clr9q_1_3,clr9q,python,15 puzzle game,T1,Different Comments,0.99019104,oik81,python,"Abbreviations, simple",Programming Concepts,Text Processing
clr9q_1_3_4,clr9q_1_3,clr9q,python,15 puzzle game,T1,Different Comments,0.98988485,v5a29,python,Animation,Game Development,Graphics
clr9q_1_3_5,clr9q_1_3,clr9q,python,15 puzzle game,T1,Different Comments,0.98925054,id9of,python,Animate a pendulum,Game Development,Physics Simulations
clr9q_1_4_1,clr9q_1_4,clr9q,python,15 puzzle game,T1,Different Formatting,0.9998832,clr9q,python,15 puzzle game,Game Development,Puzzles
clr9q_1_4_2,clr9q_1_4,clr9q,python,15 puzzle game,T1,Different Formatting,0.99025714,l26cv,python,Active object,Programming Concepts,Concurrency
clr9q_1_4_3,clr9q_1_4,clr9q,python,15 puzzle game,T1,Different Formatting,0.98949164,id9of,python,Animate a pendulum,Game Development,Physics Simulations
